declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
23,10,ID,Idaho                         ,0,2000-03-03T00:00:00.000Z,Major Disaster,ID-ROCKSLIDES-02-11-2000,Mud/Landslide,2000-01-30T00:00:00.000Z,,Turndown,2000-03-17T00:00:00.000Z,0,1,0,1,2000021103,2000-01-30T00:00:00.000Z,49255d74-0082-451a-9857-12c029a8f46a
40,6,OK,Oklahoma                      ,0,2000-05-10T00:00:00.000Z,Major Disaster,OK-Tulsa Flooding-5-6-00,Flood,2000-05-05T00:00:00.000Z,2000-05-08T00:00:00.000Z,Turndown,2000-05-24T00:00:00.000Z,0,1,0,1,2000050701,2000-05-06T00:00:00.000Z,37123300-1b91-4572-bfe5-a7a7e7cd641c
46,6,LA,Louisiana                     ,0,2000-06-05T00:00:00.000Z,Major Disaster,LA-Tornado-North Louisiana-4/23/00,Tornado,2000-04-23T00:00:00.000Z,2000-04-24T00:00:00.000Z,Turndown,2000-06-21T00:00:00.000Z,0,1,0,1,2000042401,2000-04-23T00:00:00.000Z,167d9809-14b5-48c4-84aa-3b2e45600c90
51,4,NC,North Carolina                ,0,2000-06-06T00:00:00.000Z,Major Disaster,NC -Severe Storms and Possible Tornados,Severe Storm,2000-05-25T00:00:00.000Z,2000-05-25T00:00:00.000Z,Turndown,2000-06-23T00:00:00.000Z,0,0,1,1,2000052601,2000-05-25T00:00:00.000Z,dc36be54-3ed1-4a71-b4bf-523439e89e5a
56,5,IL,Illinois                      ,0,2000-06-15T00:00:00.000Z,Major Disaster,"IL-Severe Storms, Tornadoes & Flooding-05/19/2000",Severe Storm,2000-05-18T00:00:00.000Z,2000-05-26T00:00:00.000Z,Turndown,2000-06-27T00:00:00.000Z,0,0,1,1,2000051901,2000-05-19T00:00:00.000Z,bab47239-c4f8-4c2b-8cff-6472bc92305b
79,6,TX,Texas                         ,0,2000-07-27T00:00:00.000Z,Emergency,TX-Fire Emergency Request-07-27-00,Fire,2000-07-27T00:00:00.000Z,,Turndown,2000-09-20T00:00:00.000Z,0,0,1,0,2000073101,2000-07-27T00:00:00.000Z,01faa601-4689-48af-afc7-ef7660c438ec
93,1,CT,Connecticut                   ,0,2000-08-17T00:00:00.000Z,Major Disaster,CT Heavy Rains and Flooding 8-11-00,Severe Storm,2000-08-11T00:00:00.000Z,2000-08-12T00:00:00.000Z,Turndown,2000-09-21T00:00:00.000Z,0,1,0,1,2000081404,2000-08-11T00:00:00.000Z,1f8486a8-0f95-4ba7-a111-6dc8a2d3eb61
138,6,AR,Arkansas                      ,0,2000-09-08T00:00:00.000Z,Emergency,AR-Extreme Fire Hazard-8/25/00,Fire,2000-08-25T00:00:00.000Z,,Turndown,2000-09-20T00:00:00.000Z,0,0,1,0,2000090803,2000-08-25T00:00:00.000Z,c3db0344-ae3e-4fbd-959e-8a8d6188d341
154,6,OK,Oklahoma                      ,0,2000-09-22T00:00:00.000Z,Emergency,OK-Severe Fire Threat-8/29/00,Fire,2000-09-15T00:00:00.000Z,,Turndown,2000-10-11T00:00:00.000Z,0,0,1,0,2000092205,2000-09-15T00:00:00.000Z,c099b7f7-9505-40b5-a147-ea83b0dc5eca
155,5,WI,Wisconsin                     ,0,2000-09-22T00:00:00.000Z,Major Disaster," Wi-Eau Claire, Severe Storms and Flooding",Severe Storm,2000-09-10T00:00:00.000Z,2000-09-11T00:00:00.000Z,Turndown,2000-10-20T00:00:00.000Z,0,0,1,1,2000091401,2000-09-10T00:00:00.000Z,13e9ad16-8626-4ab3-9dbe-a8d6a7c1c677
162,2,NY,New York                      ,0,2000-10-10T00:00:00.000Z,Major Disaster,NY - Heavy Rains and Thunderstorms,Severe Storm,2000-09-02T00:00:00.000Z,2000-09-09T00:00:00.000Z,Turndown,2000-10-19T00:00:00.000Z,0,1,1,1,2000091202,2000-09-02T00:00:00.000Z,729fcd3f-a2ef-461e-a914-9b02229ae61b
1006,2,NY,New York                      ,0,2001-01-16T00:00:00.000Z,Major Disaster,"NY Rain Dec17, 2000",Severe Storm,2000-12-16T00:00:00.000Z,2000-12-17T00:00:00.000Z,Turndown,2001-04-03T00:00:00.000Z,0,1,1,1,2000121901,2000-12-16T00:00:00.000Z,c0d14a9b-3647-473d-a508-c088811fad9b
1027,6,AR,Arkansas                      ,0,2001-03-02T00:00:00.000Z,Major Disaster,AR-Tornadoes-2-24-01,Tornado,2001-02-24T00:00:00.000Z,2001-02-25T00:00:00.000Z,Turndown,2001-03-16T00:00:00.000Z,0,1,0,0,2001022602,2001-02-24T00:00:00.000Z,93ec6324-d02b-4e07-a8e9-40c43e57d430
1029,6,OK,Oklahoma                      ,0,2001-03-15T00:00:00.000Z,Major Disaster,OK-Ice Storm-1-27-01,Severe Ice Storm,2001-01-27T00:00:00.000Z,2001-01-29T00:00:00.000Z,Turndown,2001-04-03T00:00:00.000Z,0,0,1,1,2001030701,2001-01-27T00:00:00.000Z,3bea8c0e-877e-4a0e-b9d8-fd18e7993863
1035,6,TX,Texas                         ,0,2001-05-30T00:00:00.000Z,Major Disaster,TX-Severe Weather-2-23-01,Severe Storm,2001-02-14T00:00:00.000Z,2001-03-30T00:00:00.000Z,Turndown,2001-06-28T00:00:00.000Z,0,0,1,1,2001022701,2001-02-14T00:00:00.000Z,96818993-9631-4424-857f-ee4cb0d2bb6b
1038,1,RI,Rhode Island                  ,0,2001-04-20T00:00:00.000Z,Major Disaster,New England Nor'Easter/Flooding-03/21/2001,Flood,2001-03-22T00:00:00.000Z,2001-03-30T00:00:00.000Z,Turndown,2001-06-21T00:00:00.000Z,0,0,0,1,2001032301,2001-03-21T00:00:00.000Z,9d768a38-b4ac-4e39-898f-239c4471ccef
1078,4,FL,Florida                       ,0,2001-08-06T00:00:00.000Z,Major Disaster,R4-TS Barry,Hurricane,2001-08-02T00:00:00.000Z,,Turndown,2001-08-14T00:00:00.000Z,0,1,0,0,2001080301,2001-08-02T00:00:00.000Z,4d6b835f-fbf9-4071-9388-6522c4d6c8a4
